sy;NtWaitForSingleObject;GetLastInputInfo;InSendMessageEx;memcpy_s;LdrLockLoaderLock;RtlDestroyProcessParameters;RtlCreateProcessParametersEx;RtlGetOwnerSecurityDescriptor;LockWindowUpdate;CsrClientCallServer;GetStringTypeW;RtlMoveMemory;RtlReAllocateHeap;RtlDosPathNameToNtPathName_U;NtOpenMutant
0;7;0;0;2415;0;0;0;0;0;0;0;0;16;0;3
0;10645;0;29;379;1;0;0;83;0;0;0;0;192;0;13
0;12;0;4;308;0;0;0;0;99;0;0;0;41;0;3
0;12;0;9;303;0;0;0;0;2;0;0;0;20;0;4
0;722;0;1;5764;0;0;0;1;46;0;0;0;34;0;6
0;11527;0;0;202;0;0;0;1;0;0;0;0;44;4;3
0;9;0;7;240;0;0;0;0;2;0;0;0;30;0;3
0;98;0;0;46;0;2;0;4;16;0;0;0;20;0;4
0;1;0;0;10;0;0;0;0;4;0;0;0;0;0;1
0;10876;0;12;1417;0;1;0;1;16;0;0;0;30;11;5
0;38;0;0;119;0;3;0;2;16;0;0;0;18;0;4
0;40;0;1;2545;0;0;0;1;12;0;0;0;23;0;5
0;46;0;4;2920;0;0;0;1;0;0;0;0;55;0;3
0;10519;0;4;236;97;2;0;2;14;0;0;0;128;0;9
0;5532;0;7;0;0;0;0;3;0;0;0;0;38;31;0
0;258;0;31;503;0;1;0;30;0;0;0;0;49;0;1
0;223;0;1;190;0;0;0;0;0;0;0;0;109;0;0
0;10915;0;80;4325;2;0;0;14;0;18;0;0;349;0;17
0;1816;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;100;0;1;244;0;1;0;14;0;1;0;0;4;0;1
0;26;0;10;303;0;0;0;0;0;0;0;0;0;0;0
0;38949;0;21;816;0;0;0;1;9;0;0;0;52;0;3
0;9;0;0;126;0;0;0;0;0;0;0;0;19;0;3
0;1010;0;0;192299;0;2;0;2;2;0;0;0;2;0;1
0;10569;0;0;255;0;0;0;1;0;0;0;0;24;0;3
0;1058;0;0;10;0;1;0;2;1;0;0;0;6;0;3
0;3308;0;5;2473;0;0;0;1;5;1;0;0;40;0;4
0;8207;0;5;273;0;1;0;1;0;0;0;0;87;0;17
